city_id,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
271,Bubaque,88,GW,1667515167,70,11.2833,-15.8333,83.66,8.77
272,Jumla,0,NP,1667515168,49,29.2747,82.1838,43.74,5.01
273,Isangel,40,VU,1667515068,70,-19.55,169.2667,84.31,5.75
274,Severomuysk,100,RU,1667515168,96,56.1481,113.4267,8.02,4.76
275,Aktobe,75,KZ,1667515168,93,50.2797,57.2072,28.49,13.42
276,Saint-Pierre,0,RE,1667515169,68,-21.3393,55.4781,76.57,5.75
277,Zhigansk,53,RU,1667515169,99,66.7697,123.3711,-11.06,6.4
278,Klaksvík,100,FO,1667515170,90,62.2266,-6.589,45.52,24.09
279,Copiapó,0,CL,1667515170,40,-27.3667,-70.3333,56.89,4.74
280,Nanortalik,100,GL,1667515170,75,60.1432,-45.2371,39.97,33.89
281,Saldanha,8,ZA,1667515171,95,-33.0117,17.9442,60.85,7.29
282,La Providencia,2,MX,1667515171,33,28.7167,-111.5833,79.21,14.23
283,Cap Malheureux,31,MU,1667515172,73,-19.9842,57.6142,73.47,7.0
284,Vanavara,79,RU,1667515172,98,60.34,102.2797,3.88,1.05
285,Cayenne,0,GF,1667514948,94,4.9333,-52.3333,77.04,0.0
286,Waipawa,0,NZ,1667515172,47,-41.4122,175.5153,63.45,13.02
287,Marmari,5,GR,1667515173,43,38.0484,24.3204,70.74,1.01
288,Nyurba,48,RU,1667515173,97,63.2842,118.3319,-2.56,4.79
289,Peniche,100,PT,1667515174,98,39.3558,-9.3811,62.29,14.45
290,Forsytheganj,99,BY,1667515174,97,52.6333,29.7333,42.71,3.11
291,Alofi,75,NU,1667515175,83,-19.0595,-169.9187,78.69,17.27
292,Lata,81,PT,1667515175,95,40.1629,-8.3327,57.92,0.65
293,Xining,18,CN,1667515122,83,36.6167,101.7667,33.87,0.51
294,Gigmoto,85,PH,1667515175,84,13.7796,124.39,82.02,7.43
295,College,100,US,1667515176,83,64.8569,-147.8028,14.58,9.22
296,Hay River,75,CA,1667515176,79,60.8156,-115.7999,15.78,13.8
297,Paamiut,100,GL,1667515177,89,61.994,-49.6678,35.91,6.44
298,Enumclaw,100,US,1667515177,91,47.2043,-121.9915,42.57,1.01
299,Port Elizabeth,20,ZA,1667515177,94,-33.918,25.5701,67.1,10.36
300,Meaford,60,CA,1667515178,78,44.6001,-80.583,61.09,10.54
301,Beian,0,NO,1667515178,66,63.6559,9.5683,52.0,12.66
302,Jinka,42,ET,1667515178,65,5.65,36.65,64.76,1.99
303,Chicama,46,PE,1667515179,72,-7.8447,-79.1469,61.34,6.85
304,Krasnosel'kup,13,RU,1667515179,89,65.7,82.4667,1.45,6.38
305,Gouré,16,NE,1667515180,20,13.9835,10.2704,75.96,10.71
306,Kokkinochoma,14,GR,1667515180,85,40.9333,24.3,63.52,7.0
307,Beringovskiy,100,RU,1667515180,93,63.05,179.3167,15.1,10.47
308,Avera,0,US,1667515181,55,33.194,-82.5271,71.65,7.34
309,Port Keats,72,AU,1667515181,64,-14.25,129.55,83.8,9.55
310,Uri,100,IN,1667515182,51,34.0833,74.0333,57.54,5.48
311,Crotone,0,IT,1667515182,55,39.0851,17.1178,65.35,7.0
312,Saint-Augustin,100,CA,1667515182,36,51.226,-58.6502,34.92,9.98
313,Canmore,78,CA,1667515111,43,51.0834,-115.3521,30.81,11.5
314,Itaueira,100,BR,1667515183,90,-7.6033,-43.0256,74.5,0.98
315,Litovko,50,RU,1667515183,63,49.2361,135.1742,23.67,7.74
316,Bhīnmāl,0,IN,1667515184,36,25.0,72.25,75.22,7.02
317,Kumul,38,CN,1667515184,38,42.8,93.45,41.04,1.57
318,Three Hills,62,CA,1667515046,88,51.7001,-113.2686,17.67,7.0
319,Senanga,51,ZM,1667515185,79,-16.1167,23.2667,69.51,3.85
320,Teberda,95,RU,1667515185,86,43.4456,41.7448,42.35,6.98
321,Kungurtug,45,RU,1667515185,93,50.5994,97.5228,10.51,2.08
322,Qasigiannguit,88,GL,1667515186,69,68.8193,-51.1922,28.65,6.58
323,Arroyos y Esteros,1,PY,1667515186,73,-25.0667,-57.1,76.75,4.99
324,Santoña,6,ES,1667515187,73,43.4439,-3.4576,58.93,14.45
325,Hamada,69,JP,1667515187,70,34.8833,132.0833,57.81,12.71
326,Omboué,100,GA,1667515187,89,-1.5746,9.2618,75.56,2.53
327,Saskatoon,100,CA,1667514937,85,52.1168,-106.6345,21.18,10.36
328,Lompoc,0,US,1667515188,52,34.6391,-120.4579,65.79,23.02
329,Mount Gambier,98,AU,1667514942,75,-37.8333,140.7667,54.07,2.39
330,Atar,0,MR,1667515189,11,20.5169,-13.0499,77.43,6.4
331,Mendoza,0,AR,1667515141,7,-32.8908,-68.8272,81.93,12.66
332,Evensk,100,RU,1667515190,69,61.95,159.2333,10.38,12.15
333,Richards Bay,100,ZA,1667515190,92,-28.783,32.0377,70.83,9.13
334,Lichuan,95,CN,1667514957,83,30.3,108.85,48.51,2.46
335,Zeya,34,RU,1667515191,91,53.75,127.2667,9.55,2.53
336,Puerto Nariño,58,CO,1667515191,77,-3.7703,-70.3831,69.19,1.72
337,Tallahassee,0,US,1667514950,55,30.4383,-84.2807,79.0,1.01
338,Gorontalo,99,ID,1667515071,90,0.5412,123.0595,78.76,1.86
339,Bakchar,71,RU,1667515192,91,57.0186,82.0711,24.57,3.74
340,Bairnsdale,19,AU,1667515192,71,-37.8333,147.6167,60.06,1.99
341,Terrace Bay,33,CA,1667515193,93,48.7834,-87.1,44.69,6.53
342,Blyth,0,GB,1667515193,93,55.1271,-1.5086,43.09,2.3
343,Stephenville,75,US,1667515194,57,32.2207,-98.2023,81.39,19.57
344,Kidal,0,ML,1667515194,18,18.4411,1.4078,75.79,10.74
345,Makkah al Mukarramah,1,SA,1667514924,51,21.4267,39.8261,74.59,5.84
346,Santa Helena de Goiás,100,BR,1667515195,70,-17.8136,-50.5969,66.6,10.85
347,Mahébourg,20,MU,1667515134,88,-20.4081,57.7,73.26,3.44
348,Vanimo,86,PG,1667515195,85,-2.6741,141.3028,81.37,2.19
349,San Policarpo,39,PH,1667515195,75,12.1791,125.5072,82.87,10.25
350,Jiexiu,85,CN,1667514946,46,37.0244,111.9125,44.33,1.36
351,Leningradskiy,100,RU,1667515196,94,69.3833,178.4167,0.61,9.19
352,Kampot,100,KH,1667515196,93,10.6167,104.1833,78.85,5.91
353,Clarence Town,58,AU,1667515197,73,-32.5833,151.7833,63.95,4.43
354,Killybegs,38,IE,1667515197,80,54.6333,-8.45,48.02,6.13
355,Naze,63,JP,1667515197,71,28.3667,129.4833,68.92,14.18
